data       data_combined_Summer16.root                                            
ttZ        TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                  0.2529
ttX        ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_Summer16.root         0.215
ttX        tZq_ll_4f_13TeV-amcatnlo-pythia8_Summer16.root                                      0.09418
ttX        ST_tWll_5f_LO_13TeV-MadGraph-pythia8_Summer16.root                                  0.01123
ttX        TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_Summer16.root          0.2043
ttX        THW_Hincl_13TeV-madgraph-pythia8_TuneCUETP8M1_Summer16.root                         0.01561
ttX        TTZToLL_M-1to10_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root                0.0493 
ttX        TTTT_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                              0.009103
ttX        TTWW_TuneCUETP8M2T4_13TeV-madgraph-pythia8_Summer16.root                            7.829e-3
ttX        TTWZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8_Summer16.root                            2.919e-3
ttX        TTZZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8_Summer16.root                            1.573e-3
WZ         WZTo3LNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_Summer16.root                      4.666
Xgamma     DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_Summer16.root               6025.2
Xgamma     TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8_Summer16.root                    2.967
Xgamma     TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_Summer16.root               3.697
Xgamma     WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_Summer16.root                      585
Xgamma     TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8_Summer16.root                      87.31483776
ZZ         ZZTo4L_13TeV_powheg_pythia8_Summer16.root                                           1.3816
ZZ         GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8_Summer16.root                       0.005423
ZZ         GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8_Summer16.root                      0.005423
ZZ         GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8_Summer16.root                     0.005423
ZZ         GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8_Summer16.root                          0.0027
ZZ         GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8_Summer16.root                         0.0027
ZZ         GluGluHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8_Summer16.root                   0.01212
ZZ         VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8_Summer16.root                     0.001034
ZZ         WplusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUgenV6_pythia8_Summer16.root        0.0002339
ZZ         WminusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUgenV6_pythia8_Summer16.root       0.0001471
ZZ         ZH_HToZZ_4LFilter_M125_13TeV_powheg2-minlo-HZJ_JHUgenV6_pythia8_Summer16.root       0.000652
rare       WZG_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                               0.04123
rare       ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                               0.01398
rare       WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                               0.05565
rare       WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root                               0.1651 
rare       WWW_4F_DiLeptonFilter_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root             0.2086
rare       WWTo2L2Nu_DoubleScattering_13TeV-pythia8_Summer16.root                              0.1729
rare       WWTo2L2Nu_13TeV-powheg_Summer16.root                                                12.178 
