data       data_combined_Fall17.root                                            
ttZ        TTZToLLNuNu_M-10_TuneCP5_PSweights_13TeV-amcatnlo-pythia8_Fall17.root               0.2529
ttX        ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_Fall17.root                            0.215
ttX        tZq_ll_4f_ckm_NLO_TuneCP5_PSweights_13TeV-amcatnlo-pythia8_Fall17.root              0.09418
ttX        ST_tWll_5f_LO_TuneCP5_PSweights_13TeV-madgraph-pythia8_Fall17.root                  0.01123
ttX        TTWJetsToLNu_TuneCP5_PSweights_13TeV-amcatnloFXFX-madspin-pythia8_Fall17.root       0.2043
ttX        THW_5f_Hincl_13TeV_madgraph_pythia8_Fall17.root                                     0.01561
ttX        TTZToLL_M-1to10_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                          0.0493
ttX        TTTT_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                     0.009103
ttX        TTWW_TuneCP5_13TeV-madgraph-pythia8_Fall17.root                                     7.829e-3
ttX        TTWZ_TuneCP5_13TeV-madgraph-pythia8_Fall17.root                                     2.919e-3
ttX        TTZZ_TuneCP5_13TeV-madgraph-pythia8_Fall17.root                                     1.573e-3
WZ         WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8_Fall17.root                             4.6659998
WZ         WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8_Fall17.root                             5.6
Xgamma     DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8_Fall17.root                      6025.2
Xgamma     TGJets_TuneCP5_13TeV_amcatnlo_madspin_pythia8_Fall17.root                           2.967
Xgamma     TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8_Fall17.root                      3.697
Xgamma     WGToLNuG_TuneCP5_13TeV-madgraphMLM-pythia8_Fall17.root                              585
Xgamma     TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8_Fall17.root                        87.31483776
ZZ         ZZTo4L_TuneCP5_13TeV-amcatnloFXFX-pythia8_Fall17.root                               1.3816
ZZ         GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8_Fall17.root                         0.005423
ZZ         GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8_Fall17.root                        0.005423
ZZ         GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8_Fall17.root                       0.005423
ZZ         GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8_Fall17.root                            0.0027
ZZ         GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8_Fall17.root                           0.0027
ZZ         GluGluHToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8_Fall17.root                  0.01212
ZZ         VBF_HToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8_Fall17.root                    0.001034
ZZ         WplusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUGenV7011_pythia8_Fall17.root       0.0002339
ZZ         WminusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUGenV7011_pythia8_Fall17.root      0.0001471
ZZ         ZH_HToZZ_4LFilter_M125_13TeV_powheg2-minlo-HZJ_JHUGenV7011_pythia8_Fall17.root      0.000652
rare       WZG_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                      0.04123
rare       ZZZ_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                      0.01398
rare       WZZ_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                      0.05565
rare       WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                   0.1651
rare       WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8_Fall17.root                                   0.2086
rare       WWTo2L2Nu_NNPDF31_TuneCP5_13TeV-powheg-pythia8_Fall17.root                          12.178
